QTY,MPN,Value,Manufacturer,Ref. Des.
1,ATtinyx5 SOIC,ATtinyx5 SOIC,Microchip,U3
1,PX0675/PC,PX0675/PC,Bulgin,J1
1,EG2315A,EG2315A,E-Switch,S1
1,5000,5000,Keystone,J4
1,G3MC-202P-VD-1 DC5,G3MC-202P-VD-1 DC5,Omron,K1
1,7511B11,7511B11,VCC,MP1
1,ATtinyx5 DIP,ATtinyx5 DIP,Microchip,U2
1,PX0580/PC,PX0580/PC,Bulgin,J6
1,CPL-CAP-X5R-0805-10UF-16V,10 µF,CPL,C2
1,IRM-01-5,IRM-01-5,Mean Well,U1
1,"Generic Pin header 1×2, 2.54mm pitch, vertical","Generic Pin header 1×2, 2.54mm pitch, vertical","",J5
1,"Generic IDC header 2×3, 2.54mm pitch, vertical","Generic IDC header 2×3, 2.54mm pitch, vertical","",J10
1,5001,5001,Keystone,J7
2,3517,3517,Keystone,"J2, J3"
2,RCJ-2221,RCJ-2221,CUI,"J8, J9"
2,CPL-RES-0603-1K-0.1W,1 kΩ,CPL,"R6, R7"
3,150060GS75000,150060GS75000,Würth Elektronik,"D1, D2, D3"
6,CPL-CAP-X7R-0603-100NF-50V,100 nF,CPL,"C1, C3, C4, C5, C6, C7"
11,CPL-RES-0603-10K-0.1W,10 kΩ,CPL,"R1, R2, R3, R4, R5, R8, R9, R10, R11, R12, R13"
